distance_km,duration_minutes,demand_index,traffic_level,weather_condition,day_of_week,hour_of_day,vehicle_type,ride_fare
2.42,9.3,1.22,2,Rainy,Sun,14,Auto,61.92
2.18,6.1,2.9,2,Clear,Thu,3,Bike,41.84
10.81,27.7,1.47,8,Clear,Sun,17,Bike,143.35
2.02,6.3,1.46,1,Clear,Fri,17,Car,87.42
12.51,48.9,1.35,6,Clear,Tue,16,Bike,151.1
10.89,31.6,1.85,6,Clear,Mon,11,Auto,177.59
2.14,8.2,0.89,4,Rainy,Thu,6,Car,83.3
2.19,9.7,1.88,3,Rainy,Thu,15,Bike,52.34
14.81,39.8,1.85,3,Rainy,Tue,10,Auto,236.98
6.24,24.0,2.4,1,Clear,Fri,13,Car,204.09
6.19,21.0,2.58,3,Rainy,Mon,2,Bike,106.05
12.38,52.4,1.6,4,Clear,Thu,18,Auto,215.46
14.26,40.7,1.26,5,Clear,Mon,17,Bike,152.16
14.8,57.5,1.15,3,Clear,Thu,9,Bike,177.18
11.55,48.2,0.99,6,Clear,Fri,5,Car,312.28
6.27,27.5,0.64,5,Clear,Sat,12,Car,169.7
2.17,8.4,1.36,3,Rainy,Thu,9,Auto,68.65
11.88,41.5,1.18,6,Clear,Sat,17,Bike,142.49
8.82,32.9,2.92,6,Clear,Thu,19,Bike,138.49
6.94,29.4,1.89,8,Clear,Wed,15,Auto,166.16
13.69,49.8,1.37,2,Rainy,Fri,5,Bike,181.14
2.56,6.6,1.95,1,Stormy,Tue,12,Auto,87.19
7.9,34.5,0.85,4,Rainy,Sat,3,Auto,180.82
1.16,4.5,1.61,7,Clear,Tue,22,Auto,50.31
7.56,29.1,2.07,3,Clear,Fri,13,Auto,160.45
1.79,5.2,1.72,3,Clear,Sun,0,Bike,44.45
2.66,10.2,1.5,5,Clear,Tue,19,Bike,41.29
2.65,8.7,2.98,5,Clear,Fri,4,Bike,58.27
10.09,38.4,2.7,3,Clear,Tue,7,Auto,189.29
11.44,31.0,2.06,9,Clear,Sat,11,Auto,202.11
9.17,35.0,1.92,4,Stormy,Wed,1,Auto,215.23
14.47,65.1,2.05,3,Clear,Tue,11,Auto,264.12
6.25,16.2,1.0,2,Clear,Sat,4,Car,143.28
5.0,22.3,1.49,9,Clear,Thu,21,Bike,119.68
13.16,43.6,0.6,4,Rainy,Fri,4,Bike,167.83
4.13,17.5,1.69,3,Rainy,Mon,12,Bike,79.79
14.49,58.9,1.86,7,Rainy,Sun,8,Auto,276.74
1.17,4.3,1.07,8,Rainy,Mon,9,Bike,53.02
14.58,58.0,2.91,2,Clear,Fri,0,Car,442.56
1.6,6.8,2.77,7,Clear,Wed,2,Auto,64.63
13.48,44.6,2.31,5,Clear,Tue,17,Car,350.46
8.39,26.5,1.83,5,Clear,Wed,11,Car,235.96
14.9,57.1,2.67,3,Clear,Mon,2,Bike,209.06
2.03,8.4,0.83,5,Clear,Sun,8,Bike,45.89
8.75,35.2,2.48,2,Rainy,Sat,1,Auto,198.37
14.57,59.7,0.81,4,Stormy,Sun,2,Bike,224.49
8.32,28.0,2.49,6,Rainy,Fri,13,Bike,110.08
9.81,40.6,1.19,1,Rainy,Fri,3,Auto,181.55
10.74,29.4,2.69,4,Clear,Wed,18,Bike,147.68
7.36,26.4,2.86,6,Clear,Sat,12,Auto,154.79
9.79,24.6,0.87,9,Clear,Wed,6,Auto,173.17
9.18,28.9,1.66,2,Clear,Tue,11,Bike,113.04
13.62,44.0,2.95,7,Rainy,Thu,2,Bike,218.93
1.64,5.4,1.71,6,Clear,Sat,22,Bike,40.75
4.93,19.2,2.66,2,Rainy,Thu,22,Auto,127.13
14.31,46.9,1.97,8,Clear,Sun,8,Bike,213.58
13.46,45.7,1.44,7,Clear,Tue,1,Car,311.08
7.38,22.0,1.21,5,Clear,Thu,21,Bike,82.54
9.68,31.4,1.01,5,Clear,Mon,8,Bike,105.49
4.88,14.4,2.4,7,Clear,Sun,11,Bike,86.6
3.63,9.6,1.47,9,Clear,Thu,11,Bike,61.12
7.49,27.8,1.78,9,Rainy,Tue,14,Bike,154.32
5.95,22.8,1.73,9,Clear,Thu,1,Auto,133.27
9.17,34.3,1.94,6,Clear,Fri,17,Auto,150.52
2.09,7.2,2.66,6,Clear,Wed,12,Bike,41.29
14.64,47.7,2.95,3,Clear,Mon,13,Bike,198.44
14.81,62.6,1.52,1,Stormy,Fri,4,Auto,332.25
10.77,38.1,2.57,7,Clear,Fri,9,Auto,186.2
8.51,29.4,2.41,4,Stormy,Tue,11,Bike,163.42
5.33,13.6,1.93,1,Clear,Wed,9,Car,157.66
12.39,39.4,2.89,8,Stormy,Wed,23,Bike,245.33
10.59,34.5,1.0,6,Clear,Sat,10,Auto,182.11
3.28,10.8,0.77,6,Clear,Sun,1,Bike,46.1
13.75,50.3,2.63,2,Clear,Mon,4,Bike,179.41
12.52,44.7,1.6,1,Clear,Sun,6,Car,300.08
14.3,53.1,2.62,2,Clear,Tue,5,Bike,209.19
11.16,45.0,2.73,4,Clear,Mon,21,Auto,215.18
9.59,39.6,0.66,2,Clear,Sat,22,Bike,116.02
6.86,27.0,2.71,1,Clear,Thu,2,Auto,127.69
14.06,62.0,1.62,7,Clear,Fri,12,Car,375.79
13.12,33.3,1.78,8,Rainy,Mon,2,Bike,212.93
1.63,4.7,2.07,6,Clear,Sun,23,Car,56.98
1.37,3.4,2.82,4,Clear,Fri,20,Auto,43.32
6.27,23.8,0.55,6,Clear,Tue,5,Auto,124.92
12.35,53.1,1.69,3,Rainy,Sun,10,Auto,253.74
14.82,44.3,2.22,8,Clear,Thu,16,Car,412.56
3.11,13.5,2.31,2,Clear,Tue,9,Bike,64.08
9.32,24.4,2.23,5,Stormy,Thu,11,Bike,158.21
6.33,27.7,0.84,1,Rainy,Thu,16,Car,198.81
14.58,46.7,1.25,6,Clear,Fri,3,Auto,235.73
12.79,34.6,1.4,2,Clear,Tue,1,Bike,147.19
12.74,44.2,2.51,4,Rainy,Tue,10,Auto,257.39
7.56,22.8,1.2,6,Clear,Mon,6,Auto,124.76
6.81,20.9,1.03,8,Clear,Sun,1,Bike,78.8
4.83,15.0,2.89,8,Clear,Tue,17,Bike,79.66
1.79,7.3,0.52,6,Rainy,Mon,20,Auto,43.92
13.11,46.9,2.99,4,Clear,Wed,3,Bike,183.28
12.38,38.7,2.19,8,Rainy,Wed,7,Auto,279.74
15.0,55.8,2.57,8,Clear,Wed,19,Car,474.53
14.95,58.8,1.24,1,Clear,Sat,13,Bike,183.53
8.78,26.7,0.54,4,Clear,Tue,11,Bike,112.29
11.77,39.2,2.34,4,Clear,Sat,21,Bike,141.59
14.23,39.0,2.59,7,Stormy,Sun,20,Bike,224.39
12.9,36.9,2.35,7,Rainy,Tue,17,Auto,223.58
4.46,17.2,0.86,8,Clear,Mon,10,Bike,80.41
7.31,20.9,2.38,5,Clear,Sat,7,Auto,140.54
2.81,10.0,2.42,7,Clear,Sat,1,Bike,60.51
14.36,56.3,2.15,8,Clear,Sun,14,Bike,227.63
9.49,25.8,2.42,9,Clear,Sat,8,Bike,138.09
4.2,15.3,2.61,3,Clear,Thu,18,Bike,77.0
10.4,31.3,2.03,3,Clear,Mon,19,Bike,123.92
9.65,42.7,0.72,4,Rainy,Wed,7,Bike,144.82
6.01,20.8,1.72,5,Stormy,Mon,18,Car,220.81
2.59,10.7,0.69,1,Clear,Thu,4,Auto,49.73
10.4,37.4,1.52,7,Rainy,Sun,10,Bike,147.67
8.28,21.4,1.52,9,Clear,Sun,14,Bike,96.24
11.81,44.5,0.67,8,Clear,Tue,7,Bike,175.17
8.28,36.5,1.37,5,Clear,Mon,18,Bike,125.65
12.93,47.9,0.78,4,Clear,Sun,22,Bike,155.02
8.73,36.1,2.52,7,Clear,Sat,7,Bike,117.05
8.85,37.8,2.87,5,Clear,Sun,18,Bike,133.61
13.27,39.2,0.68,7,Rainy,Sun,17,Bike,156.57
6.65,19.4,2.89,1,Rainy,Sun,9,Bike,106.16
2.88,10.7,1.81,1,Clear,Sun,6,Bike,37.29
1.4,4.7,1.25,3,Rainy,Wed,8,Auto,36.73
11.57,48.4,0.69,2,Clear,Wed,0,Bike,140.1
9.68,41.6,1.75,2,Clear,Tue,18,Bike,124.77
10.86,34.8,2.49,7,Clear,Sun,4,Auto,203.29
3.98,11.8,2.27,2,Clear,Mon,18,Car,135.77
2.91,11.8,0.63,4,Clear,Thu,0,Car,91.39
1.2,3.7,0.68,2,Clear,Tue,14,Auto,51.51
5.91,24.5,1.51,6,Clear,Mon,15,Bike,98.86
9.26,31.0,1.24,8,Rainy,Sun,22,Auto,192.77
6.49,24.9,1.08,4,Clear,Fri,6,Auto,115.99
7.12,19.2,1.2,5,Clear,Sun,11,Bike,84.49
13.66,51.2,2.51,4,Clear,Wed,7,Auto,239.1
5.88,20.0,2.82,3,Clear,Thu,4,Car,174.05
8.2,30.1,1.51,5,Clear,Sat,9,Bike,125.97
11.97,33.9,2.77,9,Rainy,Thu,20,Bike,192.07
6.55,26.0,1.3,8,Clear,Sat,4,Bike,107.48
9.71,41.0,1.69,8,Clear,Thu,16,Bike,147.59
13.07,38.3,1.07,8,Clear,Wed,4,Bike,164.6
14.29,38.5,2.1,8,Clear,Sat,21,Auto,280.64
3.06,7.8,2.95,7,Clear,Mon,14,Auto,66.87
13.97,52.9,2.01,8,Clear,Sat,12,Bike,226.31
7.89,29.3,1.39,8,Rainy,Tue,0,Car,269.16
4.62,16.6,2.12,8,Clear,Mon,10,Bike,93.3
7.43,22.0,0.81,7,Clear,Tue,22,Bike,101.7
14.72,48.3,2.72,1,Clear,Sun,0,Auto,256.07
7.9,29.1,1.76,4,Clear,Thu,10,Auto,139.61
5.6,19.6,1.62,4,Clear,Mon,17,Auto,104.61
9.87,44.2,1.96,5,Rainy,Thu,17,Car,317.38
4.36,12.1,2.06,6,Clear,Sun,20,Auto,105.89
2.06,8.0,0.68,4,Clear,Fri,15,Car,66.39
2.8,9.3,2.21,2,Clear,Thu,12,Bike,36.06
2.79,9.4,1.1,6,Clear,Sun,6,Auto,46.01
3.13,12.3,2.28,8,Clear,Thu,0,Car,129.96
2.94,11.4,2.56,8,Clear,Sun,15,Auto,95.69
9.97,44.7,2.51,7,Clear,Tue,0,Bike,161.23
3.55,9.8,1.88,6,Clear,Sun,16,Auto,68.97
5.84,15.8,1.8,2,Rainy,Sat,5,Auto,114.0
13.56,53.5,0.86,7,Clear,Fri,1,Bike,152.08
7.64,27.9,2.44,5,Clear,Thu,16,Car,217.01
10.35,31.6,1.18,6,Clear,Sun,5,Bike,127.98
3.41,9.1,1.74,8,Clear,Sun,13,Bike,73.94
3.69,9.9,1.21,8,Clear,Thu,17,Car,122.09
1.57,6.7,0.83,3,Clear,Fri,5,Bike,53.17
3.37,9.7,2.07,7,Clear,Fri,9,Bike,67.07
4.9,15.4,0.64,1,Clear,Sun,23,Auto,100.98
3.48,10.3,2.37,1,Clear,Mon,17,Auto,75.68
2.24,7.2,1.29,7,Clear,Tue,8,Bike,58.51
2.69,7.1,0.5,9,Rainy,Fri,7,Car,129.14
7.45,26.4,1.78,7,Clear,Fri,9,Auto,130.94
3.89,10.3,0.62,5,Clear,Wed,16,Auto,68.12
6.1,25.0,1.19,8,Clear,Sat,22,Auto,122.45
8.05,23.9,2.27,2,Clear,Fri,5,Auto,130.64
10.67,38.2,0.66,9,Clear,Tue,13,Bike,132.94
1.55,6.6,2.6,6,Clear,Sat,21,Bike,35.06
12.19,46.3,0.51,9,Rainy,Sat,21,Auto,235.3
9.79,34.9,1.12,2,Clear,Thu,5,Car,236.44
2.14,6.7,2.35,3,Clear,Thu,6,Bike,48.84
13.23,41.9,1.29,8,Clear,Thu,11,Auto,232.88
13.89,53.3,0.75,1,Clear,Thu,2,Car,321.53
1.86,8.3,1.4,7,Clear,Wed,13,Bike,42.14
4.88,18.7,1.18,7,Rainy,Fri,21,Bike,75.03
12.29,44.4,2.61,1,Clear,Thu,18,Bike,167.58
11.48,45.5,1.28,9,Rainy,Sun,22,Auto,234.47
3.58,12.3,2.47,8,Rainy,Mon,15,Bike,82.44
3.93,10.3,2.73,4,Rainy,Thu,6,Bike,66.17
6.19,22.4,1.58,5,Clear,Fri,7,Auto,103.9
7.78,34.4,2.77,2,Clear,Thu,17,Auto,171.12
9.66,27.5,1.44,9,Clear,Wed,12,Bike,139.49
6.16,23.9,2.91,6,Clear,Tue,20,Bike,113.11
7.48,21.7,0.72,3,Clear,Tue,8,Auto,104.64
11.46,40.9,2.22,7,Rainy,Fri,9,Car,335.43
1.51,4.1,1.73,9,Clear,Sun,20,Car,86.16
4.53,15.4,1.47,3,Clear,Tue,22,Auto,84.35
10.99,44.1,2.08,2,Clear,Tue,8,Bike,159.57
13.53,43.2,2.26,7,Clear,Mon,14,Bike,177.28
8.16,31.3,0.51,7,Clear,Fri,19,Bike,106.09
8.45,34.6,0.92,4,Rainy,Sun,1,Bike,137.05
2.5,10.9,2.28,9,Clear,Fri,12,Auto,87.52
7.26,21.6,2.17,8,Rainy,Tue,1,Bike,127.97
8.46,27.9,2.92,1,Rainy,Tue,18,Bike,134.74
4.39,12.3,2.4,1,Rainy,Tue,1,Car,152.0
4.77,21.4,2.88,5,Clear,Sat,2,Bike,77.63
6.28,27.3,2.26,6,Rainy,Wed,5,Bike,94.36
1.28,4.6,1.25,3,Clear,Thu,2,Bike,38.67
5.51,23.1,0.76,9,Clear,Wed,9,Auto,130.1
3.96,14.0,2.45,6,Clear,Fri,23,Auto,86.84
5.58,20.9,2.11,4,Clear,Mon,5,Bike,103.15
2.68,7.2,0.62,7,Clear,Thu,22,Auto,54.16
13.47,54.0,1.4,8,Clear,Mon,15,Auto,237.97
9.31,25.7,2.89,9,Clear,Sun,16,Car,300.97
10.51,43.6,1.75,6,Rainy,Sat,18,Car,315.38
12.05,49.0,1.58,6,Clear,Fri,2,Car,329.82
7.98,31.3,1.64,8,Clear,Sat,17,Auto,154.95
2.22,5.7,1.02,5,Clear,Fri,6,Bike,44.36
8.52,26.5,1.42,3,Clear,Mon,8,Bike,99.24
9.22,27.9,1.42,3,Rainy,Mon,19,Bike,126.72
11.44,36.8,0.63,6,Clear,Mon,11,Auto,173.92
7.04,18.8,2.42,2,Clear,Fri,4,Car,199.03
2.79,12.2,1.54,6,Clear,Tue,2,Auto,71.09
4.97,17.9,2.56,6,Rainy,Mon,10,Bike,76.88
6.08,18.9,2.63,8,Clear,Sat,3,Auto,144.94
10.04,33.1,1.03,7,Rainy,Sun,4,Car,275.02
8.99,30.5,2.14,8,Clear,Thu,0,Auto,173.67
5.99,22.2,1.68,9,Clear,Fri,17,Car,193.89
14.81,52.3,2.7,6,Clear,Sat,11,Car,412.33
9.48,41.1,1.04,3,Rainy,Wed,12,Car,276.67
4.32,15.1,2.19,3,Clear,Sun,8,Auto,84.46
2.42,10.9,2.02,1,Clear,Wed,1,Auto,70.92
3.14,13.2,1.24,5,Clear,Thu,4,Bike,49.61
4.44,13.0,0.84,4,Clear,Tue,12,Bike,62.85
3.25,14.2,2.13,9,Clear,Mon,15,Auto,89.95
3.61,9.9,2.35,9,Stormy,Fri,15,Bike,87.57
4.99,20.6,1.29,5,Clear,Sat,23,Car,164.75
3.43,11.2,2.11,4,Clear,Mon,2,Bike,35.33
13.55,57.7,1.49,7,Rainy,Sat,21,Car,399.12
2.12,9.0,2.28,6,Clear,Fri,3,Bike,58.55
8.34,34.3,1.0,4,Clear,Wed,10,Bike,104.98
6.75,27.5,2.73,2,Clear,Mon,22,Car,228.73
14.75,45.9,1.22,1,Clear,Thu,13,Bike,157.59
2.57,6.8,1.42,4,Clear,Tue,2,Bike,38.81
6.57,21.7,0.65,4,Clear,Thu,15,Bike,74.72
14.57,41.5,0.78,1,Clear,Tue,21,Auto,209.4
13.12,51.0,1.79,6,Clear,Sun,14,Bike,155.1
12.44,39.7,1.17,4,Rainy,Sat,9,Auto,223.32
4.61,20.5,2.59,1,Rainy,Mon,8,Auto,116.71
3.39,12.8,0.54,1,Rainy,Mon,10,Auto,82.14
10.36,42.9,1.45,1,Rainy,Sun,15,Auto,204.99
14.01,38.7,1.34,8,Clear,Tue,9,Auto,234.16
8.79,37.1,0.55,8,Rainy,Wed,16,Bike,135.65
9.0,39.1,0.81,2,Clear,Fri,18,Car,249.67
4.92,17.1,1.53,7,Clear,Thu,1,Bike,68.6
11.77,43.7,1.73,8,Clear,Sun,23,Auto,222.18
3.62,14.6,1.51,8,Clear,Sat,22,Bike,80.38
5.53,15.8,1.83,7,Rainy,Sun,1,Car,173.34
6.96,24.4,1.99,5,Rainy,Thu,5,Bike,123.64
8.11,26.7,0.52,1,Clear,Thu,18,Bike,95.24
4.39,12.3,1.66,9,Rainy,Sat,7,Auto,100.6
2.61,8.4,2.91,7,Clear,Sat,2,Auto,73.57
9.55,25.2,1.8,2,Clear,Mon,13,Bike,111.67
5.04,12.9,2.19,6,Clear,Thu,15,Auto,89.38
9.14,25.3,1.28,2,Clear,Fri,0,Auto,148.91
3.16,14.0,2.43,1,Rainy,Fri,20,Car,158.53
7.74,27.9,2.43,7,Rainy,Tue,2,Auto,160.85
8.46,37.5,1.8,2,Rainy,Sun,21,Bike,127.78
1.73,5.8,2.94,2,Clear,Sat,17,Bike,43.05
5.71,17.8,0.81,5,Rainy,Mon,8,Car,168.35
2.88,10.1,0.54,5,Clear,Fri,5,Car,96.83
1.89,6.4,2.43,7,Rainy,Wed,22,Bike,61.0
14.86,40.3,2.52,1,Clear,Mon,20,Bike,188.11
5.51,20.8,0.8,8,Clear,Mon,0,Auto,103.27
12.34,36.2,1.16,3,Clear,Fri,20,Bike,134.75
4.56,17.1,0.54,4,Clear,Wed,9,Bike,50.95
10.54,40.1,1.23,9,Clear,Tue,5,Bike,165.99
11.64,32.6,2.43,4,Clear,Fri,22,Bike,127.48
9.34,24.5,1.79,5,Clear,Wed,11,Bike,100.94
7.6,30.9,1.37,7,Clear,Mon,3,Auto,133.3
6.77,23.2,1.43,4,Clear,Wed,12,Bike,97.9
5.88,15.4,0.5,1,Clear,Mon,16,Bike,64.86
14.01,62.9,1.25,9,Clear,Sun,7,Bike,207.98
12.63,33.0,2.12,4,Clear,Fri,19,Bike,147.09
14.51,56.4,2.94,9,Clear,Sat,2,Bike,241.66
2.74,12.2,2.62,6,Rainy,Fri,11,Bike,53.09
11.23,33.4,0.56,1,Rainy,Sun,6,Auto,164.78
14.14,39.4,2.75,3,Clear,Thu,11,Bike,195.55
3.54,9.7,2.46,2,Rainy,Thu,1,Bike,70.68
1.93,6.0,2.45,9,Rainy,Thu,23,Bike,63.78
11.38,30.7,1.64,1,Stormy,Fri,13,Auto,225.57
9.04,35.1,1.5,9,Clear,Tue,21,Car,279.61
12.79,33.6,1.26,9,Clear,Fri,22,Bike,166.29
2.96,10.4,0.66,8,Clear,Sun,4,Car,118.9
12.13,54.5,1.07,8,Clear,Sun,8,Bike,191.64
3.82,15.8,1.12,1,Clear,Sat,20,Car,123.98
3.29,12.3,1.71,8,Clear,Wed,10,Bike,76.68
3.3,10.3,2.37,3,Rainy,Fri,4,Auto,60.15
12.4,46.5,1.68,7,Stormy,Fri,2,Auto,280.02
10.31,36.6,0.64,1,Clear,Mon,16,Bike,116.98
8.32,27.9,2.89,1,Clear,Sun,1,Car,251.42
6.02,16.6,2.86,5,Clear,Mon,23,Auto,110.75
13.28,56.7,2.46,5,Rainy,Mon,0,Bike,198.16
6.49,22.1,2.98,8,Clear,Fri,6,Bike,121.14
12.43,35.9,1.86,7,Clear,Tue,13,Bike,134.48
7.15,23.1,2.91,8,Clear,Wed,4,Car,244.24
6.28,20.9,0.69,6,Clear,Wed,18,Auto,96.13
7.48,31.1,1.41,6,Clear,Sun,10,Bike,104.64
5.22,20.7,1.06,2,Clear,Sat,22,Auto,107.57
11.47,46.3,0.99,6,Rainy,Sun,1,Car,312.42
8.04,20.3,0.85,5,Stormy,Tue,7,Auto,157.29
4.25,14.2,2.06,3,Rainy,Tue,8,Auto,106.31
13.59,47.1,2.45,6,Rainy,Wed,2,Auto,252.73
6.37,16.2,1.95,8,Clear,Thu,1,Bike,91.87
8.61,26.0,0.87,9,Clear,Mon,6,Bike,130.44
13.69,55.0,2.53,1,Rainy,Mon,4,Car,425.71
9.74,27.0,2.09,3,Rainy,Wed,20,Bike,140.31
2.64,9.4,1.47,3,Clear,Sun,4,Car,103.68
14.16,41.5,2.19,8,Clear,Tue,19,Bike,187.17
9.79,24.7,1.15,1,Clear,Sun,12,Bike,102.4
5.69,17.0,1.36,5,Clear,Sat,20,Car,158.2
2.95,13.1,2.79,3,Clear,Thu,19,Auto,61.2
12.12,49.7,1.23,2,Clear,Wed,5,Bike,153.75
9.68,42.8,1.67,8,Clear,Mon,19,Auto,197.83
8.47,29.4,2.73,3,Clear,Fri,17,Auto,172.9
13.51,36.7,2.27,7,Rainy,Sun,1,Auto,237.31
12.04,43.3,0.66,1,Clear,Tue,5,Bike,151.21
3.12,10.6,0.87,6,Clear,Fri,8,Car,101.15
5.36,22.5,0.52,3,Clear,Sat,2,Car,149.58
4.48,12.1,2.08,8,Rainy,Wed,0,Bike,83.01
11.42,39.7,1.62,6,Clear,Sun,0,Car,284.17
1.47,4.1,0.84,2,Stormy,Mon,18,Car,113.17
8.98,28.3,2.89,6,Clear,Sun,4,Auto,174.76
11.67,46.4,1.82,7,Stormy,Thu,12,Auto,255.76
13.27,45.8,1.1,5,Rainy,Fri,18,Bike,198.13
5.79,18.8,1.75,3,Clear,Thu,11,Bike,79.05
12.5,41.1,2.2,4,Clear,Sat,15,Auto,213.34
2.55,8.7,0.69,4,Clear,Mon,18,Car,98.04
12.85,52.3,1.19,6,Clear,Fri,2,Auto,196.39
2.78,11.9,2.52,1,Clear,Sat,11,Auto,68.04
6.56,28.9,1.65,4,Clear,Thu,4,Bike,116.63
12.16,49.5,1.87,4,Clear,Thu,1,Bike,163.37
3.1,9.7,1.58,1,Clear,Fri,21,Bike,63.14
4.21,16.3,0.61,9,Clear,Mon,6,Bike,67.1
11.11,37.5,0.91,4,Clear,Thu,12,Auto,168.67
11.08,33.3,1.61,7,Clear,Wed,14,Bike,152.01
9.98,41.7,1.02,3,Clear,Sat,21,Auto,173.61
10.72,27.6,0.62,3,Clear,Fri,2,Bike,109.53
8.6,37.0,2.61,8,Clear,Tue,20,Auto,194.51
4.53,15.5,2.95,8,Rainy,Tue,19,Auto,123.35
5.84,22.0,2.48,1,Clear,Mon,4,Bike,105.91
3.54,13.5,2.63,2,Clear,Wed,23,Bike,74.46
13.72,58.9,1.1,8,Clear,Thu,7,Bike,189.45
9.17,34.6,2.9,1,Rainy,Tue,21,Car,305.97
6.61,24.6,0.99,8,Rainy,Mon,0,Bike,112.03
7.47,19.7,2.88,8,Rainy,Sat,7,Auto,175.98
14.26,50.4,2.99,2,Clear,Wed,23,Car,392.13
3.15,8.8,2.28,4,Clear,Wed,17,Auto,83.51
9.21,36.6,2.95,6,Clear,Sun,19,Bike,142.41
8.08,28.5,1.92,9,Clear,Mon,15,Car,261.63
9.56,36.9,1.15,8,Rainy,Mon,17,Bike,148.34
1.25,3.2,1.59,8,Clear,Sun,19,Bike,30.82
13.21,35.3,1.98,7,Rainy,Thu,11,Car,368.67
14.05,55.3,0.68,9,Clear,Mon,12,Auto,264.97
8.91,23.6,2.06,2,Rainy,Sun,12,Bike,123.13
10.75,28.4,2.95,3,Clear,Thu,9,Bike,157.03
13.91,35.1,0.98,8,Clear,Thu,6,Bike,179.21
10.9,48.1,2.48,6,Clear,Fri,13,Auto,207.34
3.14,12.5,2.77,9,Clear,Wed,23,Bike,65.63
9.07,29.1,2.86,4,Clear,Sat,15,Car,266.04
9.49,29.4,2.9,8,Rainy,Wed,14,Car,340.46
6.94,22.2,1.8,3,Clear,Wed,11,Car,186.66
11.31,45.8,2.94,3,Clear,Fri,8,Bike,177.74
14.08,53.8,2.39,8,Clear,Thu,7,Auto,273.42
13.96,40.1,0.9,5,Clear,Thu,17,Car,301.87
7.31,20.8,1.69,3,Rainy,Mon,22,Car,196.5
2.59,7.0,2.3,1,Rainy,Fri,17,Bike,42.56
14.79,56.5,1.12,3,Rainy,Mon,12,Bike,189.46
12.74,51.3,2.1,9,Rainy,Fri,17,Bike,225.49
2.75,8.3,2.17,5,Rainy,Mon,14,Auto,67.46
13.89,35.3,0.91,2,Clear,Tue,3,Auto,175.52
13.18,35.1,1.91,7,Rainy,Sun,16,Car,343.68
8.26,36.6,2.43,2,Clear,Wed,4,Bike,144.64
9.28,28.7,1.75,4,Clear,Wed,21,Bike,124.77
6.59,26.6,0.53,7,Clear,Sat,15,Bike,105.18
1.77,6.6,0.52,4,Rainy,Sun,8,Bike,54.45
5.69,18.6,1.39,7,Rainy,Thu,9,Bike,82.51
12.24,35.6,2.82,7,Clear,Sat,23,Auto,215.55
1.06,2.9,1.07,1,Rainy,Tue,17,Auto,42.05
5.67,21.1,2.09,6,Rainy,Sat,16,Auto,136.44
6.57,26.6,1.06,9,Clear,Wed,17,Bike,104.75
8.52,32.3,1.3,2,Clear,Thu,6,Bike,105.29
13.88,49.4,2.62,3,Rainy,Tue,3,Bike,221.52
5.85,15.1,2.32,5,Clear,Wed,4,Car,168.95
5.86,26.0,0.74,9,Clear,Sun,22,Bike,90.1
11.33,46.4,1.57,4,Clear,Mon,15,Car,298.71
7.33,22.6,0.57,1,Clear,Fri,2,Bike,80.48
4.14,18.5,1.7,4,Rainy,Tue,17,Car,147.79
7.33,27.1,2.16,6,Clear,Thu,22,Car,210.61
2.97,10.9,0.8,5,Rainy,Sat,20,Bike,58.6
3.47,13.9,1.22,1,Rainy,Sun,13,Auto,84.67
7.98,32.9,1.49,4,Rainy,Sat,14,Bike,119.5
6.86,26.2,2.8,6,Clear,Tue,16,Car,233.49
13.81,38.1,2.98,4,Clear,Sun,0,Bike,157.89
6.07,19.3,0.61,9,Clear,Thu,20,Bike,91.01
9.13,39.8,2.4,5,Clear,Tue,16,Auto,180.18
9.85,29.0,1.43,8,Rainy,Thu,22,Car,290.86
1.18,3.8,1.48,9,Clear,Sat,10,Bike,41.78
10.29,34.6,2.39,5,Clear,Wed,16,Auto,180.31
3.49,11.8,2.8,6,Clear,Sun,13,Bike,77.49
14.45,53.8,2.88,1,Rainy,Mon,19,Bike,232.48
3.08,13.5,1.94,7,Rainy,Wed,18,Auto,104.6
6.8,20.3,1.39,4,Clear,Mon,20,Bike,83.65
2.19,6.0,2.47,2,Rainy,Sat,6,Bike,64.86
14.96,43.3,1.13,5,Clear,Sun,23,Car,315.99
8.03,34.3,1.91,3,Clear,Wed,12,Bike,118.18
9.34,35.4,1.4,6,Rainy,Wed,17,Auto,171.61
1.94,6.0,2.14,8,Clear,Tue,22,Bike,55.78
11.5,47.5,1.1,7,Stormy,Fri,13,Bike,197.48
3.94,16.6,0.98,3,Clear,Sat,0,Bike,54.43
13.57,56.9,2.8,8,Clear,Thu,6,Auto,305.95
3.87,16.8,0.75,2,Rainy,Sat,7,Auto,84.56
3.67,11.0,1.76,9,Clear,Thu,17,Bike,60.16
1.51,6.1,1.05,4,Stormy,Sun,8,Bike,47.41
7.61,26.0,0.6,1,Stormy,Thu,0,Car,226.99
8.91,37.3,0.59,8,Clear,Mon,21,Bike,139.69
1.92,7.6,0.94,7,Clear,Thu,16,Car,80.24
11.86,48.1,2.67,5,Clear,Thu,18,Bike,173.41
7.35,28.0,1.21,5,Clear,Tue,5,Auto,128.81
8.34,23.8,2.88,7,Clear,Wed,2,Bike,133.61
7.17,25.7,1.95,5,Clear,Sat,23,Car,220.74
6.61,29.5,1.59,8,Clear,Sat,4,Auto,164.01
8.83,38.6,1.95,6,Clear,Sun,1,Bike,129.78
3.17,8.2,1.79,5,Stormy,Sun,19,Bike,57.38
